year,school_name,street_addr,county,city,zip,district_name,designation,title_i,total_num_concentrators,num_creds_earned,num_cte_enroll,num_stu_enroll,pct_stu_enroll,Funding_2018,Funding_2019,Funding_2020,Funding_2021,Funding_2022,Funding_2023
2022,Stanly STEM Early College,311 Park Ridge Road,Stanly,Albemarle,28001,Stanly County Schools,Public,No,NA,NA,NA,113,0.05,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Stanly County Virtual Education,12492 Cottonville Rd,Stanly,Norwood,28128,Stanly County Schools,Public,No,1,2,39,134,0.29100000000000004,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,West Stanly High School,306 East Red Cross Road,Stanly,Oakboro,28129,Stanly County Schools,Public,No,162,1155,602,728,0.8269,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Stanly Academy Learning Center,311 Park Ridge Road,Stanly,Albemarle,28001,Stanly County Schools,Public,Yes,2,NA,21,32,0.6563,214617.5,215921.5,163948.5,350032,582636.5,407256
2022,Stanly County Schools,1000-4 N First Street,Stanly,Albemarle,28001,NA,Public,No,476,3120,2385,5033,0.4739,NA,NA,NA,NA,NA,NA
2022,Gray Stone Day School,49464 Merner Terrace,Stanly,Misenheimer,28109,Charter Schools,Charter,No,NA,NA,NA,737,0.05,NA,NA,NA,NA,NA,NA
2022,Chestnut Grove Middle School,2185 Chestnut Grove Road,Stokes,King,27021,Stokes County Schools,Public,No,NA,NA,515,641,0.8034,91844,90316.5,89880,106455.5,137939,125604.5
2022,Germanton Elementary School,6085 NC 8 Hwy South,Stokes,Germanton,27019,Stokes County Schools,Public,Yes,NA,NA,NA,NA,NA,91844,90316.5,89880,106455.5,137939,125604.5
2022,Mount Olive Elementary School,2145 Chestnut Grove Road,Stokes,King,27021,Stokes County Schools,Public,Yes,NA,NA,NA,NA,NA,91844,90316.5,89880,106455.5,137939,125604.5
2022,King Elementary School,152 East School St,Stokes,King,27021,Stokes County Schools,Public,Yes,NA,NA,NA,NA,NA,91844,90316.5,89880,106455.5,137939,125604.5
2022,Lawsonville Elementary School,4611 NC 8 Hwy North,Stokes,Lawsonville,27022,Stokes County Schools,Public,Yes,NA,NA,NA,NA,NA,91844,90316.5,89880,106455.5,137939,125604.5
2022,Meadowbrook Academy,817 Meadowbrook Drive,Stokes,King,27021,Stokes County Schools,Public,Yes,1,NA,NA,79,0.95,91844,90316.5,89880,106455.5,137939,125604.5
2022,Nancy Reynolds Elementary School,1585 NC 66 Hwy North,Stokes,Westfield,27053,Stokes County Schools,Public,Yes,NA,NA,NA,NA,NA,91844,90316.5,89880,106455.5,137939,125604.5
2022,North Stokes High School,1350 N Stokes Sch Rd,Stokes,Danbury,27016,Stokes County Schools,Public,No,53,262,251,287,0.8745999999999999,91844,90316.5,89880,106455.5,137939,125604.5
2022,Pine Hall Elementary School,1400 Pine Hall Road,Stokes,Pine Hall,27042,Stokes County Schools,Public,Yes,NA,NA,NA,NA,NA,91844,90316.5,89880,106455.5,137939,125604.5
2022,Piney Grove Middle School,3415 Piney Grove Church Road,Stokes,Lawsonville,27022,Stokes County Schools,Public,No,NA,NA,186,231,0.8051999999999999,91844,90316.5,89880,106455.5,137939,125604.5
2022,Pinnacle Elementary School,1095 Surry Line Rd,Stokes,Pinnacle,27043,Stokes County Schools,Public,Yes,NA,NA,NA,NA,NA,91844,90316.5,89880,106455.5,137939,125604.5
2022,Poplar Springs Elementary School,223 Hobe Kiser Road,Stokes,King,27021,Stokes County Schools,Public,Yes,NA,NA,NA,NA,NA,91844,90316.5,89880,106455.5,137939,125604.5
2022,Sandy Ridge Elementary School,1070 Amostown Road,Stokes,Sandy Ridge,27046,Stokes County Schools,Public,Yes,NA,NA,NA,NA,NA,91844,90316.5,89880,106455.5,137939,125604.5
2022,Southeastern Stokes Middle School,1044 N Main Street,Stokes,Walnut Cove,27052,Stokes County Schools,Public,No,NA,NA,320,394,0.8122,91844,90316.5,89880,106455.5,137939,125604.5
