year,school_name,street_addr,county,city,zip,district_name,designation,title_i,num_creds_earned,num_cte_enroll,num_stu_enroll,pct_stu_enroll,funding_2018,funding_2019,funding_2020,funding_2021,funding_2022,funding_2023
2021,Little River K-8 School,2315 Snow Hill Road,Durham,Durham,27712,Durham Public Schools,Public,Yes,0,93,178,0.5225,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Lakeview School,3507 Dearborn Drive,Durham,Durham,27704,Durham Public Schools,Public,No,0,22,26,0.8462000000000001,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Lakewood Montessori Middle School,2119 Chapel Hill Rd,Durham,Durham,27707,Durham Public Schools,Public,No,0,146,298,0.4899,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Lucas Middle School,923 Snow Hill Road,Durham,Durham,27704,Durham Public Schools,Public,Yes,0,395,478,0.8264,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Fayetteville Street Elementary,2905 Fayetteville Street,Durham,Durham,27707,Durham Public Schools,Public,Yes,0,0,0,0,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Lowe's Grove Middle,4418 S Alston Avenue,Durham,Durham,27713,Durham Public Schools,Public,Yes,0,531,624,0.851,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,George Watts Elementary,700 Watts Street,Durham,Durham,27701,Durham Public Schools,Public,No,0,0,0,0,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Mangum Elementary,9008 Quail Roost Road,Durham,Bahama,27503,Durham Public Schools,Public,No,0,5,63,0.0794,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Merrick-Moore Elementary,2325 Cheek Road,Durham,Durham,27704,Durham Public Schools,Public,Yes,0,0,0,0,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Middle College HS @ DTCC,1637 Lawson Street,Durham,Durham,27703,Durham Public Schools,Public,No,0,51,172,0.2965,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Morehead Montessori,909 Cobb Street,Durham,Durham,27707,Durham Public Schools,Public,No,0,0,0,0,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Neal Middle,201 Baptist Road,Durham,Durham,27704,Durham Public Schools,Public,Yes,0,739,815,0.9067000000000001,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Northern High,117 Tom Wilkinson Road,Durham,Durham,27712,Durham Public Schools,Public,No,5,961,1273,0.7548999999999999,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Oak Grove Elementary,3810 Wake Forest Road,Durham,Durham,27703,Durham Public Schools,Public,Yes,0,0,0,0,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Parkwood Elementary,5207 Revere Road,Durham,Durham,27713,Durham Public Schools,Public,Yes,0,0,0,0,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,E K Powe Elementary,913 9th Street,Durham,Durham,27705,Durham Public Schools,Public,Yes,0,0,87,0.05,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Pearsontown Elementary,4915 Barbee Road,Durham,Durham,27713,Durham Public Schools,Public,No,0,0,0,0,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Riverside High,3218 Rose of Sharon Road,Durham,Durham,27712,Durham Public Schools,Public,No,0,1016,1556,0.653,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,Sherwood Githens Middle,4800 Chapel Hill Road,Durham,Durham,27707,Durham Public Schools,Public,Yes,0,756,924,0.8181999999999999,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
2021,R N Harris Elementary,1520 Cooper Street,Durham,Durham,27703,Durham Public Schools,Public,Yes,0,0,0,0,1069686.5,910608.5,826553.5,1035634.5,1554225.5,1480855
